Report Year,Geography,Grievance Category,Grievance Type,Grievance Count,Exempt Grievance Count,Unresolved as of June 30,Resolved,Referred,,,,,
FY2021,Calaveras,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Calaveras,Quality of Care,Treatment issues or concerns,0,0,0,0,0,,,,,
FY2021,Calaveras,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Calaveras,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Calaveras,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Calaveras,Quality of Care,All,0,0,0,0,0,,,,,
FY2021,Calaveras,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,Calaveras,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Operational,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Calaveras,Other ,All,0,0,0,0,0,,,,,
FY2021,Calaveras,All,All,0,1,0,1,0,,,,,
FY2021,Colusa,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Colusa,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Colusa,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Colusa,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Colusa,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Colusa,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Colusa,Access,All,0,0,0,0,0,,,,,
FY2021,Colusa,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Colusa,Quality of Care,Treatment issues or concerns,0,0,0,0,0,,,,,
FY2021,Colusa,Quality of Care,Medication concern,1,0,0,1,0,,,,,
FY2021,Colusa,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Colusa,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Colusa,Quality of Care,All,1,0,0,1,0,,,,,
FY2021,Colusa,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,Colusa,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Colusa,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Colusa,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Colusa,Other ,Operational,2,0,0,2,0,,,,,
FY2021,Colusa,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Colusa,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Colusa,Other ,Physical environment,1,0,0,1,0,,,,,
FY2021,Colusa,Other ,Other grievance not listed above,1,0,0,1,0,,,,,
FY2021,Colusa,Other ,All,4,0,0,4,0,,,,,
FY2021,Colusa,All,All,5,0,0,5,0,,,,,
FY2021,Contra Costa,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Contra Costa,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Contra Costa,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Contra Costa,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Contra Costa,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Contra Costa,Access,Other access issues,1,1,0,2,0,,,,,
FY2021,Contra Costa,Access,All,1,1,0,2,0,,,,,
FY2021,Contra Costa,Quality of Care,Staff behavior concerns,7,2,1,7,1,,,,,
FY2021,Contra Costa,Quality of Care,Treatment issues or concerns,3,2,0,4,1,,,,,
FY2021,Contra Costa,Quality of Care,Medication concern,3,0,0,2,1,,,,,
FY2021,Contra Costa,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Contra Costa,Quality of Care,Other quality of care issues,1,0,0,1,0,,,,,
FY2021,Contra Costa,Quality of Care,All,14,4,1,14,3,,,,,
FY2021,Contra Costa,Change of Provider,Change of Provider,3,2,0,5,0,,,,,
FY2021,Contra Costa,Confidentiality Concern ,Confidentiality Concern ,1,0,0,1,0,,,,,
FY2021,Contra Costa,Other ,Financial,1,0,0,1,0,,,,,
FY2021,Contra Costa,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Contra Costa,Other ,Operational,2,0,0,0,2,,,,,
FY2021,Contra Costa,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Contra Costa,Other ,Peer behaviors,2,0,0,2,0,,,,,
FY2021,Contra Costa,Other ,Physical environment,1,0,0,1,0,,,,,
FY2021,Contra Costa,Other ,Other grievance not listed above,5,1,0,2,4,,,,,
FY2021,Contra Costa,Other ,All,11,1,0,6,6,,,,,
FY2021,Contra Costa,All,All,30,8,1,28,9,,,,,
FY2021,Del Norte,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Del Norte,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Del Norte,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Del Norte,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Del Norte,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Del Norte,Access,Other access issues,1,0,0,1,0,,,,,
FY2021,Del Norte,Access,All,1,0,0,1,0,,,,,
FY2021,Del Norte,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Del Norte,Quality of Care,Treatment issues or concerns,8,0,1,7,0,,,,,
FY2021,Del Norte,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Del Norte,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Del Norte,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Del Norte,Quality of Care,All,8,0,1,7,0,,,,,
FY2021,Del Norte,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,Del Norte,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Financial,5,0,0,5,0,,,,,
FY2021,Del Norte,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Operational,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Del Norte,Other ,All,5,0,0,5,0,,,,,
FY2021,Del Norte,All,All,14,0,1,13,0,,,,,
FY2021,El Dorado,Access,Service not available,0,0,0,0,0,,,,,
FY2021,El Dorado,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,El Dorado,Access,Timeliness of services,1,0,1,0,0,,,,,
FY2021,El Dorado,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,El Dorado,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,El Dorado,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,El Dorado,Access,All,1,0,1,0,0,,,,,
FY2021,El Dorado,Quality of Care,Staff behavior concerns,11,0,0,11,0,,,,,
FY2021,El Dorado,Quality of Care,Treatment issues or concerns,10,0,1,9,0,,,,,
FY2021,El Dorado,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,El Dorado,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,El Dorado,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,El Dorado,Quality of Care,All,21,0,1,20,0,,,,,
FY2021,El Dorado,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,El Dorado,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Financial,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Operational,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Peer behaviors,1,0,0,1,0,,,,,
FY2021,El Dorado,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,El Dorado,Other ,Other grievance not listed above,1,0,0,1,0,,,,,
FY2021,El Dorado,Other ,All,2,0,0,2,0,,,,,
FY2021,El Dorado,All,All,24,0,2,22,0,,,,,
FY2021,Fresno,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Fresno,Access,Service not accessible,1,0,0,1,0,,,,,
FY2021,Fresno,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Fresno,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Fresno,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Fresno,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Fresno,Access,All,1,0,0,1,0,,,,,
FY2021,Fresno,Quality of Care,Staff behavior concerns,14,0,1,13,0,,,,,
FY2021,Fresno,Quality of Care,Treatment issues or concerns,9,0,2,7,0,,,,,
FY2021,Fresno,Quality of Care,Medication concern,2,0,0,2,0,,,,,
FY2021,Fresno,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Fresno,Quality of Care,Other quality of care issues,3,0,0,3,0,,,,,
FY2021,Fresno,Quality of Care,All,28,0,3,25,0,,,,,
FY2021,Fresno,Change of Provider,Change of Provider,9,0,1,8,0,,,,,
FY2021,Fresno,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Fresno,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Fresno,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Fresno,Other ,Operational,2,0,0,2,0,,,,,
FY2021,Fresno,Other ,Patients' rights,1,0,1,0,0,,,,,
FY2021,Fresno,Other ,Peer behaviors,1,0,0,1,0,,,,,
FY2021,Fresno,Other ,Physical environment,4,0,1,3,0,,,,,
FY2021,Fresno,Other ,Other grievance not listed above,4,0,0,3,1,,,,,
FY2021,Fresno,Other ,All,12,0,2,9,1,,,,,
FY2021,Fresno,All,All,50,0,6,43,1,,,,,
FY2021,Glenn,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Glenn,Access,Service not accessible,1,0,0,1,0,,,,,
FY2021,Glenn,Access,Timeliness of services,0,3,0,3,0,,,,,
FY2021,Glenn,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Glenn,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Glenn,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Glenn,Access,All,1,3,0,4,0,,,,,
FY2021,Glenn,Quality of Care,Staff behavior concerns,3,2,0,5,0,,,,,
FY2021,Glenn,Quality of Care,Treatment issues or concerns,1,0,0,1,0,,,,,
FY2021,Glenn,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Glenn,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Glenn,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Glenn,Quality of Care,All,4,2,0,6,0,,,,,
FY2021,Glenn,Change of Provider,Change of Provider,0,6,0,6,0,,,,,
FY2021,Glenn,Confidentiality Concern ,Confidentiality Concern ,2,0,0,2,0,,,,,
FY2021,Glenn,Other ,Financial,0,1,0,1,0,,,,,
FY2021,Glenn,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Glenn,Other ,Operational,0,3,0,3,0,,,,,
FY2021,Glenn,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Glenn,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Glenn,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Glenn,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Glenn,Other ,All,0,4,0,4,0,,,,,
FY2021,Glenn,All,All,7,15,0,22,0,,,,,
FY2021,Humboldt,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Humboldt,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Humboldt,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Humboldt,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Humboldt,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Humboldt,Access,Other access issues,1,0,0,1,0,,,,,
FY2021,Humboldt,Access,All,1,0,0,1,0,,,,,
FY2021,Humboldt,Quality of Care,Staff behavior concerns,14,0,1,13,0,,,,,
FY2021,Humboldt,Quality of Care,Treatment issues or concerns,11,0,0,11,0,,,,,
FY2021,Humboldt,Quality of Care,Medication concern,2,0,0,2,0,,,,,
FY2021,Humboldt,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Humboldt,Quality of Care,Other quality of care issues,2,0,0,2,0,,,,,
FY2021,Humboldt,Quality of Care,All,29,0,1,28,0,,,,,
FY2021,Humboldt,Change of Provider,Change of Provider,7,0,0,7,0,,,,,
FY2021,Humboldt,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Humboldt,Other ,Financial,1,0,0,1,0,,,,,
FY2021,Humboldt,Other ,Lost property,2,0,0,2,0,,,,,
FY2021,Humboldt,Other ,Operational,2,0,0,2,0,,,,,
FY2021,Humboldt,Other ,Patients' rights,3,0,0,3,0,,,,,
FY2021,Humboldt,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Humboldt,Other ,Physical environment,2,0,0,2,0,,,,,
FY2021,Humboldt,Other ,Other grievance not listed above,3,0,1,2,0,,,,,
FY2021,Humboldt,Other ,All,13,0,1,12,0,,,,,
FY2021,Humboldt,All,All,50,0,2,48,0,,,,,
FY2021,Imperial,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Imperial,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Imperial,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Imperial,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Imperial,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Imperial,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Imperial,Access,All,0,0,0,0,0,,,,,
FY2021,Imperial,Quality of Care,Staff behavior concerns,24,14,2,36,0,,,,,
FY2021,Imperial,Quality of Care,Treatment issues or concerns,14,10,0,24,0,,,,,
FY2021,Imperial,Quality of Care,Medication concern,0,3,0,3,0,,,,,
FY2021,Imperial,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Imperial,Quality of Care,Other quality of care issues,2,3,0,5,0,,,,,
FY2021,Imperial,Quality of Care,All,40,30,2,68,0,,,,,
FY2021,Imperial,Change of Provider,Change of Provider,5,7,0,12,0,,,,,
FY2021,Imperial,Confidentiality Concern ,Confidentiality Concern ,0,1,0,1,0,,,,,
FY2021,Imperial,Other ,Financial,1,0,0,1,0,,,,,
FY2021,Imperial,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Imperial,Other ,Operational,2,3,0,5,0,,,,,
FY2021,Imperial,Other ,Patients' rights,1,1,0,2,0,,,,,
FY2021,Imperial,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Imperial,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Imperial,Other ,Other grievance not listed above,1,3,0,4,0,,,,,
FY2021,Imperial,Other ,All,5,7,0,12,0,,,,,
FY2021,Imperial,All,All,50,45,2,93,0,,,,,
FY2021,Inyo,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Inyo,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Inyo,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Inyo,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Inyo,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Inyo,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Inyo,Access,All,0,0,0,0,0,,,,,
FY2021,Inyo,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Inyo,Quality of Care,Treatment issues or concerns,1,0,0,1,0,,,,,
FY2021,Inyo,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Inyo,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Inyo,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Inyo,Quality of Care,All,1,0,0,1,0,,,,,
FY2021,Inyo,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,Inyo,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Operational,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Inyo,Other ,All,0,0,0,0,0,,,,,
FY2021,Inyo,All,All,1,0,0,1,0,,,,,
FY2021,Kern,Access,Service not available,1,0,0,1,0,,,,,
FY2021,Kern,Access,Service not accessible,1,0,1,0,0,,,,,
FY2021,Kern,Access,Timeliness of services,6,1,1,6,0,,,,,
FY2021,Kern,Access,24/7 Toll-free access line,0,1,1,0,0,,,,,
FY2021,Kern,Access,Linguistic services,1,0,0,1,0,,,,,
FY2021,Kern,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Kern,Access,All,9,2,3,8,0,,,,,
FY2021,Kern,Quality of Care,Staff behavior concerns,34,4,8,30,0,,,,,
FY2021,Kern,Quality of Care,Treatment issues or concerns,64,16,21,59,0,,,,,
FY2021,Kern,Quality of Care,Medication concern,9,2,2,9,0,,,,,
FY2021,Kern,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Kern,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Kern,Quality of Care,All,107,22,31,98,0,,,,,
FY2021,Kern,Change of Provider,Change of Provider,27,19,18,28,0,,,,,
FY2021,Kern,Confidentiality Concern ,Confidentiality Concern ,5,0,0,5,0,,,,,
FY2021,Kern,Other ,Financial,3,0,0,3,0,,,,,
FY2021,Kern,Other ,Lost property,1,0,0,1,0,,,,,
FY2021,Kern,Other ,Operational,4,1,0,5,0,,,,,
FY2021,Kern,Other ,Patients' rights,0,0,0,0,0,,,,,
