County,Year,Quarter,Medication_Assisted_Treatment,members,status,annotation,annotation_description,Date_of_Data,CDO Approval Number
Calaveras,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2015,Q3,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Calaveras,2015,Q4,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Calaveras,2016,Q1,Buprenorphine,19,F,,,5/4/2023,CDO-23-0670
Calaveras,2016,Q2,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Calaveras,2016,Q3,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Calaveras,2016,Q4,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Calaveras,2017,Q1,Buprenorphine,37,F,,,5/4/2023,CDO-23-0670
Calaveras,2017,Q2,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Calaveras,2017,Q3,Buprenorphine,38,F,,,5/4/2023,CDO-23-0670
Calaveras,2017,Q4,Buprenorphine,40,F,,,5/4/2023,CDO-23-0670
Calaveras,2018,Q1,Buprenorphine,42,F,,,5/4/2023,CDO-23-0670
Calaveras,2018,Q2,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2018,Q3,Buprenorphine,48,F,,,5/4/2023,CDO-23-0670
Calaveras,2018,Q4,Buprenorphine,45,F,,,5/4/2023,CDO-23-0670
Calaveras,2019,Q1,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2019,Q2,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2019,Q3,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2019,Q4,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2020,Q1,Buprenorphine,45,F,,,5/4/2023,CDO-23-0670
Calaveras,2020,Q2,Buprenorphine,48,F,,,5/4/2023,CDO-23-0670
Calaveras,2020,Q3,Buprenorphine,44,F,,,5/4/2023,CDO-23-0670
Calaveras,2020,Q4,Buprenorphine,47,F,,,5/4/2023,CDO-23-0670
Calaveras,2021,Q1,Buprenorphine,49,F,,,5/4/2023,CDO-23-0670
Calaveras,2021,Q2,Buprenorphine,59,F,,,5/4/2023,CDO-23-0670
Calaveras,2021,Q3,Buprenorphine,63,F,,,5/4/2023,CDO-23-0670
Calaveras,2021,Q4,Buprenorphine,63,F,,,5/4/2023,CDO-23-0670
Colusa,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2015,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2015,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2016,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2016,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2016,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2016,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2017,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2017,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2017,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2017,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2018,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2018,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2018,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2018,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2019,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2019,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2019,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2019,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2020,Q1,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Colusa,2020,Q2,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Colusa,2020,Q3,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Colusa,2020,Q4,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Colusa,2021,Q1,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Colusa,2021,Q2,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Colusa,2021,Q3,Buprenorphine,20,F,,,5/4/2023,CDO-23-0670
Colusa,2021,Q4,Buprenorphine,21,F,,,5/4/2023,CDO-23-0670
Contra Costa,2010,Q1,Buprenorphine,23,F,,,5/4/2023,CDO-23-0670
Contra Costa,2010,Q2,Buprenorphine,30,F,,,5/4/2023,CDO-23-0670
Contra Costa,2010,Q3,Buprenorphine,30,F,,,5/4/2023,CDO-23-0670
Contra Costa,2010,Q4,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
Contra Costa,2011,Q1,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
Contra Costa,2011,Q2,Buprenorphine,30,F,,,5/4/2023,CDO-23-0670
Contra Costa,2011,Q3,Buprenorphine,33,F,,,5/4/2023,CDO-23-0670
Contra Costa,2011,Q4,Buprenorphine,35,F,,,5/4/2023,CDO-23-0670
Contra Costa,2012,Q1,Buprenorphine,45,F,,,5/4/2023,CDO-23-0670
Contra Costa,2012,Q2,Buprenorphine,42,F,,,5/4/2023,CDO-23-0670
Contra Costa,2012,Q3,Buprenorphine,43,F,,,5/4/2023,CDO-23-0670
Contra Costa,2012,Q4,Buprenorphine,46,F,,,5/4/2023,CDO-23-0670
Contra Costa,2013,Q1,Buprenorphine,46,F,,,5/4/2023,CDO-23-0670
Contra Costa,2013,Q2,Buprenorphine,45,F,,,5/4/2023,CDO-23-0670
Contra Costa,2013,Q3,Buprenorphine,52,F,,,5/4/2023,CDO-23-0670
Contra Costa,2013,Q4,Buprenorphine,53,F,,,5/4/2023,CDO-23-0670
Contra Costa,2014,Q1,Buprenorphine,173,F,,,5/4/2023,CDO-23-0670
Contra Costa,2014,Q2,Buprenorphine,185,F,,,5/4/2023,CDO-23-0670
Contra Costa,2014,Q3,Buprenorphine,200,F,,,5/4/2023,CDO-23-0670
Contra Costa,2014,Q4,Buprenorphine,222,F,,,5/4/2023,CDO-23-0670
Contra Costa,2015,Q1,Buprenorphine,243,F,,,5/4/2023,CDO-23-0670
Contra Costa,2015,Q2,Buprenorphine,270,F,,,5/4/2023,CDO-23-0670
Contra Costa,2015,Q3,Buprenorphine,273,F,,,5/4/2023,CDO-23-0670
Contra Costa,2015,Q4,Buprenorphine,281,F,,,5/4/2023,CDO-23-0670
Contra Costa,2016,Q1,Buprenorphine,290,F,,,5/4/2023,CDO-23-0670
Contra Costa,2016,Q2,Buprenorphine,331,F,,,5/4/2023,CDO-23-0670
Contra Costa,2016,Q3,Buprenorphine,353,F,,,5/4/2023,CDO-23-0670
Contra Costa,2016,Q4,Buprenorphine,351,F,,,5/4/2023,CDO-23-0670
Contra Costa,2017,Q1,Buprenorphine,372,F,,,5/4/2023,CDO-23-0670
Contra Costa,2017,Q2,Buprenorphine,390,F,,,5/4/2023,CDO-23-0670
Contra Costa,2017,Q3,Buprenorphine,427,F,,,5/4/2023,CDO-23-0670
Contra Costa,2017,Q4,Buprenorphine,441,F,,,5/4/2023,CDO-23-0670
Contra Costa,2018,Q1,Buprenorphine,470,F,,,5/4/2023,CDO-23-0670
Contra Costa,2018,Q2,Buprenorphine,538,F,,,5/4/2023,CDO-23-0670
Contra Costa,2018,Q3,Buprenorphine,571,F,,,5/4/2023,CDO-23-0670
Contra Costa,2018,Q4,Buprenorphine,590,F,,,5/4/2023,CDO-23-0670
Contra Costa,2019,Q1,Buprenorphine,625,F,,,5/4/2023,CDO-23-0670
Contra Costa,2019,Q2,Buprenorphine,694,F,,,5/4/2023,CDO-23-0670
Contra Costa,2019,Q3,Buprenorphine,727,F,,,5/4/2023,CDO-23-0670
Contra Costa,2019,Q4,Buprenorphine,751,F,,,5/4/2023,CDO-23-0670
Contra Costa,2020,Q1,Buprenorphine,842,F,,,5/4/2023,CDO-23-0670
Contra Costa,2020,Q2,Buprenorphine,829,F,,,5/4/2023,CDO-23-0670
Contra Costa,2020,Q3,Buprenorphine,772,F,,,5/4/2023,CDO-23-0670
Contra Costa,2020,Q4,Buprenorphine,771,F,,,5/4/2023,CDO-23-0670
Contra Costa,2021,Q1,Buprenorphine,784,F,,,5/4/2023,CDO-23-0670
Contra Costa,2021,Q2,Buprenorphine,844,F,,,5/4/2023,CDO-23-0670
Contra Costa,2021,Q3,Buprenorphine,857,F,,,5/4/2023,CDO-23-0670
Contra Costa,2021,Q4,Buprenorphine,846,F,,,5/4/2023,CDO-23-0670
Del Norte,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Del Norte,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Del Norte,2010,Q3,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Del Norte,2010,Q4,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Del Norte,2011,Q1,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Del Norte,2011,Q2,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Del Norte,2011,Q3,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Del Norte,2011,Q4,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Del Norte,2012,Q1,Buprenorphine,19,F,,,5/4/2023,CDO-23-0670
Del Norte,2012,Q2,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Del Norte,2012,Q3,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Del Norte,2012,Q4,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Del Norte,2013,Q1,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Del Norte,2013,Q2,Buprenorphine,21,F,,,5/4/2023,CDO-23-0670
Del Norte,2013,Q3,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
