County,Year,Medication_Assisted_Treatment,members,status,annotation,annotation_description,Date_of_Data,CDO Approval Number
Amador / Alpine,2016,Buprenorphine,52,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2017,Buprenorphine,56,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2018,Buprenorphine,80,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2019,Buprenorphine,77,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2020,Buprenorphine,89,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2021,Buprenorphine,93,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2022,Buprenorphine,100,F,,,1/10/2025,CDO-25-0612
Butte,2010,Buprenorphine,75,F,,,5/4/2023,CDO-23-0670
Butte,2011,Buprenorphine,91,F,,,5/4/2023,CDO-23-0670
Butte,2012,Buprenorphine,116,F,,,5/4/2023,CDO-23-0670
Butte,2013,Buprenorphine,126,F,,,5/4/2023,CDO-23-0670
Butte,2014,Buprenorphine,224,F,,,5/4/2023,CDO-23-0670
Butte,2015,Buprenorphine,345,F,,,5/4/2023,CDO-23-0670
Butte,2016,Buprenorphine,450,F,,,5/4/2023,CDO-23-0670
Butte,2017,Buprenorphine,514,F,,,5/4/2023,CDO-23-0670
Butte,2018,Buprenorphine,622,F,,,5/4/2023,CDO-23-0670
Butte,2019,Buprenorphine,871,F,,,5/4/2023,CDO-23-0670
Butte,2020,Buprenorphine,1033,F,,,5/4/2023,CDO-23-0670
Butte,2021,Buprenorphine,1078,F,,,5/4/2023,CDO-23-0670
Butte,2022,Buprenorphine,874,F,,,1/10/2025,CDO-25-0612
Butte,2023,Buprenorphine,904,F,,,10/17/2025,
Butte,2024,Buprenorphine,943,F,,,10/17/2025,
Calaveras,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2014,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Calaveras,2015,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Calaveras,2016,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Calaveras,2017,Buprenorphine,57,F,,,5/4/2023,CDO-23-0670
Calaveras,2018,Buprenorphine,78,F,,,5/4/2023,CDO-23-0670
Calaveras,2019,Buprenorphine,83,F,,,5/4/2023,CDO-23-0670
Calaveras,2020,Buprenorphine,69,F,,,5/4/2023,CDO-23-0670
Calaveras,2021,Buprenorphine,92,F,,,5/4/2023,CDO-23-0670
Calaveras,2022,Buprenorphine,112,F,,,1/10/2025,CDO-25-0612
Calaveras,2023,Buprenorphine,130,F,,,10/17/2025,
Calaveras,2024,Buprenorphine,129,F,,,10/17/2025,
Colusa,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2014,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2015,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2016,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2017,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Colusa,2018,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Colusa,2019,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Colusa,2020,Buprenorphine,25,F,,,5/4/2023,CDO-23-0670
Colusa,2021,Buprenorphine,27,F,,,5/4/2023,CDO-23-0670
Colusa,2022,Buprenorphine,28,F,,,1/10/2025,CDO-25-0612
Colusa,2023,Buprenorphine,27,F,,,10/17/2025,
Colusa,2024,Buprenorphine,34,F,,,10/17/2025,
Contra Costa,2010,Buprenorphine,40,F,,,5/4/2023,CDO-23-0670
Contra Costa,2011,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Contra Costa,2012,Buprenorphine,69,F,,,5/4/2023,CDO-23-0670
Contra Costa,2013,Buprenorphine,71,F,,,5/4/2023,CDO-23-0670
Contra Costa,2014,Buprenorphine,281,F,,,5/4/2023,CDO-23-0670
Contra Costa,2015,Buprenorphine,399,F,,,5/4/2023,CDO-23-0670
Contra Costa,2016,Buprenorphine,505,F,,,5/4/2023,CDO-23-0670
Contra Costa,2017,Buprenorphine,618,F,,,5/4/2023,CDO-23-0670
Contra Costa,2018,Buprenorphine,854,F,,,5/4/2023,CDO-23-0670
Contra Costa,2019,Buprenorphine,1130,F,,,5/4/2023,CDO-23-0670
Contra Costa,2020,Buprenorphine,1239,F,,,5/4/2023,CDO-23-0670
Contra Costa,2021,Buprenorphine,1324,F,,,5/4/2023,CDO-23-0670
Contra Costa,2022,Buprenorphine,1307,F,,,1/10/2025,CDO-25-0612
Contra Costa,2023,Buprenorphine,1391,F,,,10/17/2025,
Contra Costa,2024,Buprenorphine,1465,F,,,10/17/2025,
Del Norte,2010,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Del Norte,2011,Buprenorphine,21,F,,,5/4/2023,CDO-23-0670
Del Norte,2012,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
Del Norte,2013,Buprenorphine,30,F,,,5/4/2023,CDO-23-0670
Del Norte,2014,Buprenorphine,56,F,,,5/4/2023,CDO-23-0670
Del Norte,2015,Buprenorphine,88,F,,,5/4/2023,CDO-23-0670
Del Norte,2016,Buprenorphine,115,F,,,5/4/2023,CDO-23-0670
Del Norte,2017,Buprenorphine,139,F,,,5/4/2023,CDO-23-0670
Del Norte,2018,Buprenorphine,155,F,,,5/4/2023,CDO-23-0670
Del Norte,2019,Buprenorphine,172,F,,,5/4/2023,CDO-23-0670
Del Norte,2020,Buprenorphine,167,F,,,5/4/2023,CDO-23-0670
Del Norte,2021,Buprenorphine,162,F,,,5/4/2023,CDO-23-0670
Del Norte,2022,Buprenorphine,166,F,,,1/10/2025,CDO-25-0612
Del Norte,2023,Buprenorphine,164,F,,,10/17/2025,
Del Norte,2024,Buprenorphine,165,F,,,10/17/2025,
El Dorado,2010,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
El Dorado,2011,Buprenorphine,32,F,,,5/4/2023,CDO-23-0670
El Dorado,2012,Buprenorphine,43,F,,,5/4/2023,CDO-23-0670
El Dorado,2013,Buprenorphine,55,F,,,5/4/2023,CDO-23-0670
El Dorado,2014,Buprenorphine,90,F,,,5/4/2023,CDO-23-0670
El Dorado,2015,Buprenorphine,134,F,,,5/4/2023,CDO-23-0670
El Dorado,2016,Buprenorphine,224,F,,,5/4/2023,CDO-23-0670
El Dorado,2017,Buprenorphine,355,F,,,5/4/2023,CDO-23-0670
El Dorado,2018,Buprenorphine,384,F,,,5/4/2023,CDO-23-0670
El Dorado,2019,Buprenorphine,550,F,,,5/4/2023,CDO-23-0670
El Dorado,2020,Buprenorphine,627,F,,,5/4/2023,CDO-23-0670
El Dorado,2021,Buprenorphine,647,F,,,5/4/2023,CDO-23-0670
El Dorado,2022,Buprenorphine,640,F,,,1/10/2025,CDO-25-0612
El Dorado,2023,Buprenorphine,678,F,,,10/17/2025,
El Dorado,2024,Buprenorphine,691,F,,,10/17/2025,
Fresno,2010,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Fresno,2011,Buprenorphine,26,F,,,5/4/2023,CDO-23-0670
Fresno,2012,Buprenorphine,23,F,,,5/4/2023,CDO-23-0670
Fresno,2013,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Fresno,2014,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Fresno,2015,Buprenorphine,69,F,,,5/4/2023,CDO-23-0670
Fresno,2016,Buprenorphine,228,F,,,5/4/2023,CDO-23-0670
Fresno,2017,Buprenorphine,541,F,,,5/4/2023,CDO-23-0670
Fresno,2018,Buprenorphine,414,F,,,5/4/2023,CDO-23-0670
Fresno,2019,Buprenorphine,436,F,,,5/4/2023,CDO-23-0670
Fresno,2020,Buprenorphine,442,F,,,5/4/2023,CDO-23-0670
Fresno,2021,Buprenorphine,533,F,,,5/4/2023,CDO-23-0670
Fresno,2022,Buprenorphine,478,F,,,1/10/2025,CDO-25-0612
Fresno,2023,Buprenorphine,529,F,,,10/17/2025,
Fresno,2024,Buprenorphine,634,F,,,10/17/2025,
Glenn,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2014,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2015,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Glenn,2016,Buprenorphine,32,F,,,5/4/2023,CDO-23-0670
Glenn,2017,Buprenorphine,29,F,,,5/4/2023,CDO-23-0670
Glenn,2018,Buprenorphine,34,F,,,5/4/2023,CDO-23-0670
Glenn,2019,Buprenorphine,50,F,,,5/4/2023,CDO-23-0670
Glenn,2020,Buprenorphine,66,F,,,5/4/2023,CDO-23-0670
Glenn,2021,Buprenorphine,61,F,,,5/4/2023,CDO-23-0670
Glenn,2022,Buprenorphine,52,F,,,1/10/2025,CDO-25-0612
Glenn,2023,Buprenorphine,66,F,,,10/17/2025,
Glenn,2024,Buprenorphine,66,F,,,10/17/2025,
Humboldt,2010,Buprenorphine,82,F,,,5/4/2023,CDO-23-0670
Humboldt,2011,Buprenorphine,93,F,,,5/4/2023,CDO-23-0670
Humboldt,2012,Buprenorphine,114,F,,,5/4/2023,CDO-23-0670
Humboldt,2013,Buprenorphine,130,F,,,5/4/2023,CDO-23-0670
Humboldt,2014,Buprenorphine,234,F,,,5/4/2023,CDO-23-0670
Humboldt,2015,Buprenorphine,365,F,,,5/4/2023,CDO-23-0670
Humboldt,2016,Buprenorphine,526,F,,,5/4/2023,CDO-23-0670
Humboldt,2017,Buprenorphine,684,F,,,5/4/2023,CDO-23-0670
Humboldt,2018,Buprenorphine,927,F,,,5/4/2023,CDO-23-0670
Humboldt,2019,Buprenorphine,994,F,,,5/4/2023,CDO-23-0670
Humboldt,2020,Buprenorphine,1013,F,,,5/4/2023,CDO-23-0670
Humboldt,2021,Buprenorphine,1003,F,,,5/4/2023,CDO-23-0670
Humboldt,2022,Buprenorphine,1065,F,,,1/10/2025,CDO-25-0612
Humboldt,2023,Buprenorphine,1101,F,,,10/17/2025,
Humboldt,2024,Buprenorphine,1039,F,,,10/17/2025,
Imperial,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Imperial,2011,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
Imperial,2012,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Imperial,2013,Buprenorphine,27,F,,,5/4/2023,CDO-23-0670
Imperial,2014,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Imperial,2015,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Imperial,2016,Buprenorphine,39,F,,,5/4/2023,CDO-23-0670
Imperial,2017,Buprenorphine,50,F,,,5/4/2023,CDO-23-0670
Imperial,2018,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Imperial,2019,Buprenorphine,138,F,,,5/4/2023,CDO-23-0670
Imperial,2020,Buprenorphine,167,F,,,5/4/2023,CDO-23-0670
Imperial,2021,Buprenorphine,189,F,,,5/4/2023,CDO-23-0670
Imperial,2022,Buprenorphine,189,F,,,1/10/2025,CDO-25-0612
Imperial,2023,Buprenorphine,232,F,,,10/17/2025,
Imperial,2024,Buprenorphine,269,F,,,10/17/2025,
Inyo,2023,Buprenorphine,47,F,,,10/17/2025,
Inyo,2024,Buprenorphine,48,F,,,10/17/2025,
Inyo / Mono,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Inyo / Mono,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Inyo / Mono,2012,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2013,Buprenorphine,14,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2014,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2015,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2016,Buprenorphine,21,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2017,Buprenorphine,,F,2,Complementary cell suppression,5/4/2023,CDO-23-0670
Inyo / Mono,2018,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2019,Buprenorphine,56,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2020,Buprenorphine,60,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2021,Buprenorphine,62,F,,,5/4/2023,CDO-23-0670
Inyo / Mono,2022,Buprenorphine,68,F,,,1/10/2025,CDO-25-0612
Kern,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kern,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kern,2012,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Kern,2013,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Kern,2014,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Kern,2015,Buprenorphine,80,F,,,5/4/2023,CDO-23-0670
Kern,2016,Buprenorphine,321,F,,,5/4/2023,CDO-23-0670
Kern,2017,Buprenorphine,693,F,,,5/4/2023,CDO-23-0670
Kern,2018,Buprenorphine,527,F,,,5/4/2023,CDO-23-0670
Kern,2019,Buprenorphine,674,F,,,5/4/2023,CDO-23-0670
Kern,2020,Buprenorphine,840,F,,,5/4/2023,CDO-23-0670
Kern,2021,Buprenorphine,1051,F,,,5/4/2023,CDO-23-0670
Kern,2022,Buprenorphine,884,F,,,1/10/2025,CDO-25-0612
Kern,2023,Buprenorphine,1030,F,,,10/17/2025,
Kern,2024,Buprenorphine,1295,F,,,10/17/2025,
Kings,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kings,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kings,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kings,2013,Buprenorphine,0,F,,,5/4/2023,CDO-23-0670
Kings,2014,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Kings,2015,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Kings,2016,Buprenorphine,43,F,,,5/4/2023,CDO-23-0670
Kings,2017,Buprenorphine,98,F,,,5/4/2023,CDO-23-0670
Kings,2018,Buprenorphine,97,F,,,5/4/2023,CDO-23-0670
Kings,2019,Buprenorphine,123,F,,,5/4/2023,CDO-23-0670
Kings,2020,Buprenorphine,143,F,,,5/4/2023,CDO-23-0670
Kings,2021,Buprenorphine,139,F,,,5/4/2023,CDO-23-0670
Kings,2022,Buprenorphine,116,F,,,1/10/2025,CDO-25-0612
Kings,2023,Buprenorphine,141,F,,,10/17/2025,
Kings,2024,Buprenorphine,154,F,,,10/17/2025,
Lake,2010,Buprenorphine,49,F,,,5/4/2023,CDO-23-0670
Lake,2011,Buprenorphine,92,F,,,5/4/2023,CDO-23-0670
Lake,2012,Buprenorphine,111,F,,,5/4/2023,CDO-23-0670
Lake,2013,Buprenorphine,112,F,,,5/4/2023,CDO-23-0670
Lake,2014,Buprenorphine,170,F,,,5/4/2023,CDO-23-0670
Lake,2015,Buprenorphine,239,F,,,5/4/2023,CDO-23-0670
Lake,2016,Buprenorphine,310,F,,,5/4/2023,CDO-23-0670
Lake,2017,Buprenorphine,362,F,,,5/4/2023,CDO-23-0670
Lake,2018,Buprenorphine,409,F,,,5/4/2023,CDO-23-0670
Lake,2019,Buprenorphine,441,F,,,5/4/2023,CDO-23-0670
Lake,2020,Buprenorphine,417,F,,,5/4/2023,CDO-23-0670
Lake,2021,Buprenorphine,415,F,,,5/4/2023,CDO-23-0670
Lake,2022,Buprenorphine,424,F,,,1/10/2025,CDO-25-0612
Lake,2023,Buprenorphine,395,F,,,10/17/2025,
Lake,2024,Buprenorphine,386,F,,,10/17/2025,
Lassen,2023,Buprenorphine,58,F,,,10/17/2025,
Lassen,2024,Buprenorphine,57,F,,,10/17/2025,
Lassen / Modoc,2010,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Lassen / Modoc,2012,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2013,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2014,Buprenorphine,38,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2015,Buprenorphine,87,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2016,Buprenorphine,128,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2017,Buprenorphine,120,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2018,Buprenorphine,86,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2019,Buprenorphine,107,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2020,Buprenorphine,140,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2021,Buprenorphine,202,F,,,5/4/2023,CDO-23-0670
Lassen / Modoc,2022,Buprenorphine,109,F,,,1/10/2025,CDO-25-0612
Los Angeles,2010,Buprenorphine,62,F,,,5/4/2023,CDO-23-0670
Los Angeles,2011,Buprenorphine,79,F,,,5/4/2023,CDO-23-0670
Los Angeles,2012,Buprenorphine,88,F,,,5/4/2023,CDO-23-0670
Los Angeles,2013,Buprenorphine,94,F,,,5/4/2023,CDO-23-0670
Los Angeles,2014,Buprenorphine,369,F,,,5/4/2023,CDO-23-0670
Los Angeles,2015,Buprenorphine,1551,F,,,5/4/2023,CDO-23-0670
Los Angeles,2016,Buprenorphine,1940,F,,,5/4/2023,CDO-23-0670
Los Angeles,2017,Buprenorphine,2850,F,,,5/4/2023,CDO-23-0670
Los Angeles,2018,Buprenorphine,3682,F,,,5/4/2023,CDO-23-0670
Los Angeles,2019,Buprenorphine,4214,F,,,5/4/2023,CDO-23-0670
Los Angeles,2020,Buprenorphine,4791,F,,,5/4/2023,CDO-23-0670
Los Angeles,2021,Buprenorphine,5581,F,,,5/4/2023,CDO-23-0670
Los Angeles,2022,Buprenorphine,6345,F,,,1/10/2025,CDO-25-0612
Los Angeles,2023,Buprenorphine,7572,F,,,10/17/2025,
Los Angeles,2024,Buprenorphine,8533,F,,,10/17/2025,
Madera,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Madera,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Madera,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Madera,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Madera,2014,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Madera,2015,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Madera,2016,Buprenorphine,37,F,,,5/4/2023,CDO-23-0670
Madera,2017,Buprenorphine,38,F,,,5/4/2023,CDO-23-0670
Madera,2018,Buprenorphine,53,F,,,5/4/2023,CDO-23-0670
Madera,2019,Buprenorphine,45,F,,,5/4/2023,CDO-23-0670
Madera,2020,Buprenorphine,47,F,,,5/4/2023,CDO-23-0670
Madera,2021,Buprenorphine,68,F,,,5/4/2023,CDO-23-0670
Madera,2022,Buprenorphine,69,F,,,1/10/2025,CDO-25-0612
Madera,2023,Buprenorphine,99,F,,,10/17/2025,
Madera,2024,Buprenorphine,107,F,,,10/17/2025,
Marin,2010,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Marin,2011,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Marin,2012,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Marin,2013,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Marin,2014,Buprenorphine,44,F,,,5/4/2023,CDO-23-0670
Marin,2015,Buprenorphine,79,F,,,5/4/2023,CDO-23-0670
Marin,2016,Buprenorphine,122,F,,,5/4/2023,CDO-23-0670
Marin,2017,Buprenorphine,120,F,,,5/4/2023,CDO-23-0670
Marin,2018,Buprenorphine,136,F,,,5/4/2023,CDO-23-0670
Marin,2019,Buprenorphine,176,F,,,5/4/2023,CDO-23-0670
Marin,2020,Buprenorphine,207,F,,,5/4/2023,CDO-23-0670
Marin,2021,Buprenorphine,229,F,,,5/4/2023,CDO-23-0670
Marin,2022,Buprenorphine,245,F,,,1/10/2025,CDO-25-0612
Marin,2023,Buprenorphine,262,F,,,10/17/2025,
Marin,2024,Buprenorphine,281,F,,,10/17/2025,
Mariposa,2023,Buprenorphine,36,F,,,10/17/2025,
Mariposa,2024,Buprenorphine,39,F,,,10/17/2025,
Mendocino,2010,Buprenorphine,46,F,,,5/4/2023,CDO-23-0670
Mendocino,2011,Buprenorphine,60,F,,,5/4/2023,CDO-23-0670
Mendocino,2012,Buprenorphine,61,F,,,5/4/2023,CDO-23-0670
Mendocino,2013,Buprenorphine,67,F,,,5/4/2023,CDO-23-0670
Mendocino,2014,Buprenorphine,166,F,,,5/4/2023,CDO-23-0670
Mendocino,2015,Buprenorphine,229,F,,,5/4/2023,CDO-23-0670
Mendocino,2016,Buprenorphine,295,F,,,5/4/2023,CDO-23-0670
Mendocino,2017,Buprenorphine,366,F,,,5/4/2023,CDO-23-0670
Mendocino,2018,Buprenorphine,408,F,,,5/4/2023,CDO-23-0670
Mendocino,2019,Buprenorphine,433,F,,,5/4/2023,CDO-23-0670
Mendocino,2020,Buprenorphine,433,F,,,5/4/2023,CDO-23-0670
Mendocino,2021,Buprenorphine,506,F,,,5/4/2023,CDO-23-0670
Mendocino,2022,Buprenorphine,521,F,,,1/10/2025,CDO-25-0612
Mendocino,2023,Buprenorphine,563,F,,,10/17/2025,
Mendocino,2024,Buprenorphine,536,F,,,10/17/2025,
Merced,2023,Buprenorphine,251,F,,,10/17/2025,
Merced,2024,Buprenorphine,261,F,,,10/17/2025,
Merced/Mariposa,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Merced/Mariposa,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Merced/Mariposa,2012,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Merced/Mariposa,2014,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Merced/Mariposa,2015,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2016,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2017,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2018,Buprenorphine,71,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2019,Buprenorphine,79,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2020,Buprenorphine,87,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2021,Buprenorphine,72,F,,,5/4/2023,CDO-23-0670
Merced/Mariposa,2022,Buprenorphine,238,F,,,1/10/2025,CDO-25-0612
Modoc,2023,Buprenorphine,34,F,,,10/17/2025,
Modoc,2024,Buprenorphine,34,F,,,10/17/2025,
Mono,2023,Buprenorphine,,F,2,Complementary cell suppression,10/17/2025,
Mono,2024,Buprenorphine,14,F,,,10/17/2025,
Monterey,2010,Buprenorphine,23,F,,,5/4/2023,CDO-23-0670
Monterey,2011,Buprenorphine,23,F,,,5/4/2023,CDO-23-0670
Monterey,2012,Buprenorphine,37,F,,,5/4/2023,CDO-23-0670
Monterey,2013,Buprenorphine,42,F,,,5/4/2023,CDO-23-0670
Monterey,2014,Buprenorphine,121,F,,,5/4/2023,CDO-23-0670
Monterey,2015,Buprenorphine,217,F,,,5/4/2023,CDO-23-0670
Monterey,2016,Buprenorphine,348,F,,,5/4/2023,CDO-23-0670
Monterey,2017,Buprenorphine,420,F,,,5/4/2023,CDO-23-0670
Monterey,2018,Buprenorphine,556,F,,,5/4/2023,CDO-23-0670
Monterey,2019,Buprenorphine,602,F,,,5/4/2023,CDO-23-0670
Monterey,2020,Buprenorphine,668,F,,,5/4/2023,CDO-23-0670
Monterey,2021,Buprenorphine,726,F,,,5/4/2023,CDO-23-0670
Monterey,2022,Buprenorphine,809,F,,,1/10/2025,CDO-25-0612
Monterey,2023,Buprenorphine,875,F,,,10/17/2025,
Monterey,2024,Buprenorphine,878,F,,,10/17/2025,
Napa,2010,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Napa,2011,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Napa,2012,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
