X,Y,OBJECTID,County_Code,Application_Number,Legal_Entity_Name,Facility_Name,Facility_Address1,Facility_Address2,Additional_Facility_Locations,Facility_City,Facility_State,Facility_Zip,Facility_Phone,Type_of_Application,Program_Code,Treatment_Capacity,Total_Capacity,Expiration_Date,Target_Population,Incident_Medical_Services,Adolescent_Waiver,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,Latitude,Longitude,CountyName
-122.234679117,37.797936512,12,01,010006AN,BI-BETT,ORCHID WOMEN'S RECOVERY CENTER,1342 EAST 27TH STREET,,,OAKLAND,CA,94606,(510) 535-0611,Licensed and Certified,RES,12,12,4/30/2026,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.797733167092,-122.23480006784,Alameda County
-121.872528681,37.634788927,13,01,010004BP,"MONROE OPERATIONS, LLC",NEWPORT ACADEMY - HAPPY VALLEY,920 HAPPY VALLEY ROAD,,,PLEASANTON,CA,94566,(714) 310-8461,Certified,DSS,0,0,12/31/2027,1.5 --- YOUTH/ADOLESCENT,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.633573802949,-121.873141565301,Alameda County
-122.273569774,37.868736149,14,01,010066DN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1835 ALLSTON WAY,,,BERKELEY,CA,94703,(510) 666-9552,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.868736149163,-122.273569773941,Alameda County
-122.217543825,37.777656833,15,01,010062AN,THE FRIENDSHIP HOUSE ASSOCIATION OF AMERICAN INDIANS,FRIENDSHIP HOUSE AMERICAN INDIAN LODGE,1818 38TH AVENUE,,1815 39TH AVENUE,OAKLAND,CA,94601,(510) 535-7100,Licensed and Certified,RES,9,20,2/28/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.777736628325,-122.217647592638,Alameda County
-122.086478184,37.657552584,16,01,010061HN,SECOND CHANCE INC,SECOND CHANCE HAYWARD,107 JACKSON ST,,,HAYWARD,CA,94544,(510) 886-8696,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.657705721286,-122.086753780994,Alameda County
-122.105391446,37.6805796,17,01,010072AN,WOMEN ON THE WAY RECOVERY CENTER,MEN ON THE WAY,20424 HAVILAND AVENUE,,,HAYWARD,CA,94541,(510) 698-6688,Licensed,RES,10,10,3/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.680466946997,-122.105611973491,Alameda County
-122.155310792,37.724906079,18,01,010066EN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1300 E 14TH ST,,,SAN LEANDRO,CA,94577,(510) 666-9552,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.724725616968,-122.155441130584,Alameda County
-122.04271501,37.6266762930001,19,01,010079AP,TERRA FIRMA DIVERSION/EDUCATIONAL SERVICES,TERRA FIRMA DIVERSION/EDUCATIONAL SERVICES,30086 MISSION BOULEVARD,,,HAYWARD,CA,94544,(510) 675-9362,Certified,NON,0,0,8/31/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.626369096165,-122.042977112365,Alameda County
-122.271838273,37.8700821090001,20,01,010066GN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1931 CENTER ST,,,BERKELEY,CA,94704,(510) 666-9552,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.869839033983,-122.271807511464,Alameda County
-122.03901264,37.6262720340001,21,01,010081AN,"MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.",MAGNOLIA WOMEN'S RECOVERY PROGRAM,682 BRIERGATE WAY,,,HAYWARD,CA,94544,(510) 535-1346,Licensed and Certified,RES,6,12,9/30/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.626083440905,-122.038929742779,Alameda County
-122.297071406,37.8092042210001,22,01,010066FN,OPTIONS RECOVERY SERVICES,OPTIONS RECOVERY SERVICES,1630 10TH ST,,,OAKLAND,CA,94607,(510) 666-9552,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.808922504917,-122.297213311445,Alameda County
-122.263757699,37.822243235,23,01,010081CN,"MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.","MAGNOLIA WOMEN'S RECOVERY PROGRAMS, INC.",3408 ANDOVER STREET,,,OAKLAND,CA,94609,(510) 547-1531,Licensed and Certified,RES,10,20,2/28/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.822337615221,-122.264053245198,Alameda County
-122.226363515,37.777187865,24,01,010101AN,THE ALLIANCE FOR COMMUNITY WELLNESS,SI SE PUEDE/LATINO FAMILY SERVICES CENTER,1315 FRUITVALE AVENUE,,,OAKLAND,CA,94601,(510) 300-3170,Certified,NON,0,0,10/31/2027,1.12 --- WOMEN/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.777075379983,-122.22614407643,Alameda County
-122.253639485,37.817006054,25,01,010101CN,THE ALLIANCE FOR COMMUNITY WELLNESS,EL CHANTE RESIDENTIAL HOME,425 VERNON STREET,,,OAKLAND,CA,94610,(510) 465-4569,Licensed and Certified,RES,20,20,10/31/2027,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.816791812804,-122.253539321131,Alameda County
-122.282627626,37.820587516,26,01,010099BN,CAL-PEP,CAL-PEP DAY TREATMENT,2811 ADELINE ST,,,EMERYVILLE,CA,94608,(510) 874-7850,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.820441586813,-122.28222194234,Alameda County
-122.226171898,37.7771135830001,27,01,010101FN,THE ALLIANCE FOR COMMUNITY WELLNESS,WOMEN'S SERVICES ENHANCEMENT PROGRAM (WESP) ,1319 FRUITVALE AVE,,,OAKLAND,CA,94601,(510) 300-3170,Certified,NON,0,0,6/30/2027,1.3 --- WOMEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.777113583165,-122.226171897979,Alameda County
-122.221288859,37.7865736690001,28,01,010101EN,THE ALLIANCE FOR COMMUNITY WELLNESS,YOUTH FOR CHANGE,3209 GALINDO ST.,,,OAKLAND,CA,94601,(510) 300-3500,Certified,NON,0,0,12/31/2026,1.5 --- YOUTH/ADOLESCENT,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.786738708516,-122.221246195129,Alameda County
-122.22628615,37.778086321,29,01,010090BN,"NATIVE AMERICAN HEALTH CENTER, INC.","NATIVE AMERICAN HEALTH CENTER, INC.",3124 INTERNATIONAL BOULEVARD,SUITE 400,,OAKLAND,CA,94601,(510) 434-5421,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.777956988559,-122.226344152459,Alameda County
-122.27675384,37.8233679190001,30,01,010102AN,St. Mary's Center,ST. MARY'S CENTER,925 BROCKHURST STREET,,,OAKLAND,CA,94608,(510) 923-9600,Certified,NON,0,0,3/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.823452575981,-122.276734058874,Alameda County
-122.231670768,37.798283229,31,01,010106CN,ALAMEDA HEALTH SYSTEM,WILMA CHAN HIGHLAND HOSPITAL SUBSTANCE USE PROGRAM ,1411 E 31ST STREET,ROOM OA1,,OAKLAND,CA,94602,(510) 437-5122,Certified,NON,0,0,8/31/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.799262068141,-122.231487539705,Alameda County
-122.271514899,37.8213618780001,32,01,010109BN,CHANGE TO COME,MOTHERLOAD/THE HERSTORY BUILDING,685 32ND ST ,"#1, 2, AND 3",,OAKLAND,CA,94609,(510) 969-8266,Licensed and Certified,RES,4,12,1/31/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.821657675235,-122.27146846348,Alameda County
-122.032260011,37.534066195,33,01,010114AN,SECOND CHANCE INC,SECOND CHANCE TRI-CITIES ,6330 THORNTON AVENUE ,,,NEWARK,CA,94560,(510) 792-4357,Certified,NON,0,0,12/31/2026,1.10 --- CO-ED/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.534330141514,-122.032588916846,Alameda County
-121.982429597,37.549578667,34,01,010110BP,"OCEAN PSYCHIATRY, INC.",OCEAN PSYCHIATRY IOP,39210 STATE STREET,SUITE 100,,FREEMONT,CA,94538,(510) 451-2000,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.549046668014,-121.982677533283,Alameda County
-121.983022868,37.5508899320001,35,01,010115AN,"CITY OF FREMONT, HUMAN SERVICES DEPARTMENT","CITY OF FREMONT, HUMAN SERVICES DEPARTMENT",39155 LIBERTY STREET,ROOM E500 AND H850,,FREMONT,CA,94537,(510) 574-2000,Certified,NON,0,0,12/31/2026,1.10 --- CO-ED/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.551237362228,-121.982833855777,Alameda County
-122.194127302,37.7650587480001,36,01,010117AP,"PATHWAY HUMANITY PERSONNEL, SPC",PATHWAY HUMANITY,6239 BROMLEY AVENUE,,,OAKLAND,CA,94621,(888) 710-7760,Licensed and Certified,RES,9,9,11/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.765412967543,-122.19380233539,Alameda County
-122.031164329,37.674966952,37,01,010113AP,TRANQUILITY REHAB LLC,TRANQUILITY REHAB,25872 FIVE CANYONS PKWY,,"27149 FIELDING DRIVE, HAYWARD, CA 94552 AND 4428 EWING ROAD",CASTRO VALLEY,CA,94546,(925) 596-5731,Licensed and Certified,RES-DETOX,18,18,1/31/2027,1.1 --- CO-ED,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.675271801499,-122.031166591696,Alameda County
-122.202575165,37.7873668880001,38,01,010117BP,"PATHWAY HUMANITY PERSONNEL, SPC",PATHWAY HUMANITY ,3936 ANGELO AVENUE,,,OAKLAND,CA,94619,(888) 710-7760,Licensed and Certified,RES,6,6,11/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.787366887542,-122.202575165296,Alameda County
-122.235803735,37.783282699,39,01,010116AN,KINGDOM BUILDERS TRANSITIONAL HOUSING PROGRAM ,KINGDOM BUILDERS TRANSITIONAL HOUSING PROGRAM ,2321 INTERNATIONAL BLVD.,,,OAKLAND,CA,94601,(570) 575-9881,Licensed,RES-DETOX,70,70,2/28/2027,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.783282699482,-122.235803734876,Alameda County
-122.227521055,37.7786453940001,40,01,010118AP,TIAMAT TREATMENT CENTER LLC,TIAMAT TREATMENT CENTER ,3022 INTERNATIONAL BLVD.,SUITE 410,,OAKLAND,CA,94601,(510) 813-5939,Certified,NON,0,0,11/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.778538441182,-122.227571179265,Alameda County
-119.816731204,38.769770183,41,02,020001AN,ALPINE COUNTY HEALTH HUMAN SERVICES,ALPINE COUNTY BEHAVIORAL HEALTH SERVICES,40 DIAMOND VALLEY RD,,,MARKLEEVILLE,CA,96120,(530) 694-1816,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.769770183209,-119.816731203726,Alpine County
-122.231569347,37.7271543150001,42,01,010120AP,RENEWAL RECOVERY LLC,RENEWAL RECOVERY LLC,1151 HARBOR BAY PARKWAY,SUITE 134,,ALAMEDA,CA,94502,(323) 426-5598,Certified,NON,0,0,11/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.726693478286,-122.23133037902,Alameda County
-120.818118873,38.364584431,43,03,030003AN,COUNTY OF AMADOR,AMADOR COUNTY BEHAVIORAL HEALTH ,10877 CONDUCTOR BLVD,SUITE 300,,SUTTER CREEK,CA,95685,(209) 223-6412,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.364304056561,-120.817518895873,Amador County
-121.931070072,37.691585542,44,01,010119AP,R2 CONSULTANCY LLC,ZION HEALING CENTER EAST BAY,5720 STONERIDGE MALL ROAD,SUITE 360,,PLEASANTON,CA,94588,(408) 218-4506,Certified,NON,0,0,11/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.692643673016,-121.930382252639,Alameda County
-120.768296505,38.5009976420001,45,03,030002AP,"JEFFREY R. HODGSON, MD CORPORATION",MORE TO LIFE RECOVERY,20100 QUARTZ MOUNTAIN ROAD N,,,FIDDLETOWN,CA,95629,(312) 305-9378,Licensed,RES-DETOX,6,6,10/31/2026,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.501448001946,-120.768874436975,Amador County
-121.855292722,39.759126129,46,04,040006ON,SKYWAY HOUSE,SKYWAY HOUSE OUTPATIENT,392 CONNORS COURT,SUITE D,,CHICO,CA,95926,(530) 898-8326,Certified,NON,0,0,2/28/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.758943738304,-121.85579429467,Butte County
-121.872301196,39.7670834460001,47,04,040006NN,SKYWAY HOUSE,SKYWAY HOUSE,3105 ESPLANADE,,,CHICO,CA,95973,(530) 898-8326,Licensed and Certified,RES,22,22,10/31/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.767359043363,-121.872027861826,Butte County
-121.552106124,39.509372613,48,04,040034BN,ELIJAH HOUSE FOUNDATION,ELIJAH HOUSE COUNSELING SOLUTIONS,2060 PARK AVENUE,,,OROVILLE,CA,95966,(530) 854-4119,Certified,NON,0,0,2/28/2026,1.2 --- MEN ONLY,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.509156276243,-121.552029178269,Butte County
-121.555964147,39.511642894,49,04,040036BP,KIANA CHAPMAN,TRI COUNTY TREATMENT OUTPATIENT,1881 ROBINSON STREET,SUITE E,,OROVILLE,CA,95965,(530) 693-4290,Certified,NON,0,0,6/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.511821260448,-121.556027346084,Butte County
-121.544456213,39.5085541620001,50,04,040036AP,KIANA CHAPMAN,TRI COUNTY TREATMENT,2740 ORO DAM BLVD. ,E,,OROVILLE,CA,95966,(530) 533-5272,Licensed and Certified,RES,48,48,6/30/2027,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.508355008209,-121.544247922275,Butte County
-121.553590559,39.514418854,51,04,040037BN,COUNTY OF BUTTE,OROVILLE STEPPING STONES,2167 MONTGOMERY STREET,SUITE C,,OROVILLE,CA,95965,(530) 538-4359,Certified,NON,0,0,12/31/2026,1.12 --- WOMEN/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.51465622965,-121.553670103454,Butte County
-121.549973936,39.5152698270001,52,04,040037AN,COUNTY OF BUTTE,OROVILLE SUBSTANCE USE TREATMENT AND RECOVERY SERVICES,2430 BIRD STREET,,,OROVILLE ,CA,95965,(530) 538-7277,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.515091711429,-121.549841669179,Butte County
-121.549936552,39.4817930090001,53,04,040038AP,ELEV8 RECOVERY SOLUTIONS LLC,ELEV8 RECOVERY SOLUTIONS,5075 LINCOLN BLVD,,,OROVILLE,CA,95966,(707) 364-4103,Licensed and Certified,RES,30,30,1/31/2027,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.481661999357,-121.550189015246,Butte County
-121.41335696,39.3991489100001,54,04,040035AP,SIERRA HEALTH AND WELLNESS CENTERS LLC,NEW START RECOVERY SOLUTIONS,40 COYOTE MOON TRAIL,,42 COYOTE MOON TRAIL,BANGOR,CA,95914,(866) 303-6275,Licensed and Certified,RES-DETOX,16,16,2/28/2026,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.400023645442,-121.413992308738,Butte County
-121.850040286,39.753537201,55,04,040037DN,COUNTY OF BUTTE,CHICO STEPPING STONES,109 PARMAC ROAD,SUITE 2,,CHICO,CA,95926,(530) 879-3363,Certified,NON,0,0,12/31/2026,1.12 --- WOMEN/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.753708778766,-121.850551581872,Butte County
-120.350879906,38.25717688,56,05,050006AP,"TURNING POINT OF ARNOLD, LLC",TURNING POINT,1194 CEDAR STREET,,,ARNOLD,CA,95223,(209) 822-3117,Licensed and Certified,RES,12,12,12/31/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.257292382539,-120.351146953344,Calaveras County
-120.661595967,38.097324515,57,05,050002AN,"CHANGING ECHOES, INC.",CHANGING ECHOES,7632 POOL STATION ROAD,,,ANGELS CAMP,CA,95222,(209) 785-3667,Licensed and Certified,RES-DETOX,20,20,9/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.097565829799,-120.659852028201,Calaveras County
-122.001402034,39.205295983,58,06,060002AN,COLUSA COUNTY BEHAVIORAL HEALTH,COLUSA COUNTY BEHAVIORAL HEALTH,162 E CARSON STREET,SUITE A,,COLUSA,CA,95932,(530) 458-0520,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.204858867081,-122.001477890649,Colusa County
-120.573880356,37.895846277,59,05,050005AP,"THE LAKES TREATMENT CENTER, INC.",THE LAKES TREATMENT CENTER,7260 O'BYRNES FERRY ROAD,,,COPPEROPOLIS,CA,95228,(209) 325-8526,Licensed and Certified,RES-DETOX,76,80,7/31/2026,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.89619312058,-120.573942214518,Calaveras County
-120.674870806,38.1920717460001,60,05,050007AN,COUNTY OF CALAVERAS,"HEALTH AND HUMAN SERVICES AGENCY, SUBSTANCE ABUSE PROGRAM",891 MOUNTAIN RANCH ROAD,BLDG L,,SAN ANDREAS,CA,95249,(209) 754-6555,Certified,NON,0,0,10/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.189139924101,-120.674545001553,Calaveras County
-122.031577389,37.93085074,61,07,070001AFN,BI-BETT,A CHANCE FOR FREEDOM,560 LENNON LANE ,SUITE 200,,WALNUT CREEK,CA,94598,(925) 685-7418,Certified,NON,0,0,12/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.929543833216,-122.031658190317,Contra Costa County
-122.046340016,37.975343223,62,07,070001CN,BI-BETT,PUEBLOS DEL SOL,2090 COMMERCE AVENUE,,,CONCORD,CA,94520,(925) 676-2580,Licensed and Certified,RES-DETOX,20,20,4/30/2026,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.975603313174,-122.046812000706,Contra Costa County
-122.026175587,37.9715665470001,63,07,070001KN,BI-BETT,FREDERIC OZANAM CENTER  ,2931 PROSPECT AVENUE,,2950 PROSPECT AVENUE & 1390 SANTA CLARA AVENUE,CONCORD,CA,94518,(925) 676-4840,Licensed,RES-DETOX,16,16,10/31/2026,1.3 --- WOMEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.971674254151,-122.026146418427,Contra Costa County
-121.847956964,39.7525690080001,64,04,040037CN,COUNTY OF BUTTE,SUBSTANCE USE TREATMENT AND RECOVERY SERVICES,560 COHASSET ROAD,SUITE 165,,CHICO,CA,95926,(530) 879-3950,Certified,NON,0,0,12/31/2026,1.10 --- CO-ED/YOUTH,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.75199182972,-121.847768454742,Butte County
-122.134084209,37.96106222,65,07,070007AP,"ALHAMBRA VALLEY RETREAT, LLC",ALHAMBRA VALLEY RETREAT,77 QUAIL LANE,,,MARTINEZ,CA,94553,(925) 286-7342,Licensed and Certified,RES,6,6,5/31/2026,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9610229926,-122.13383501495,Contra Costa County
-121.891416126,38.024347601,66,07,070001ZN,BI-BETT,EAST COUNTY WOMEN'S RECOVERY CENTER/EAST COUNTY WOLLAM,2 DAVI AVENUE,,"4, 12, 14, 22, AND 24 DAVI AVENUE",PITTSBURG,CA,94565,(925) 427-1384,Licensed,RES-DETOX,27,33,2/28/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.024258584727,-121.891190317409,Contra Costa County
-122.132805131,38.0157703150001,67,07,070008BN,UJIMA FAMILY RECOVERY SERVICES,LA CASA UJIMA,904 MELLUS STREET,,,MARTINEZ,CA,94553,(925) 229-0230,Licensed and Certified,RES,12,18,2/28/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.015896881938,-122.13286623458,Contra Costa County
-121.865523421,37.899657738,68,07,070001AN,BI-BETT,DIABLO VALLEY RANCH,11540 MARSH CREEK ROAD,,,CLAYTON,CA,94517,(925) 672-5700,Licensed and Certified,RES,58,59,3/31/2026,1.2 --- MEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.900322758546,-121.865249165271,Contra Costa County
-122.331227745,37.9488389320001,69,07,070008CN,UJIMA FAMILY RECOVERY SERVICES,UJIMA WEST OUTPATIENT TREATMENT PROGRAM,12960 SAN PABLO AVENUE,,,RICHMOND,CA,94805,(510) 215-2280,Certified,NON,0,0,2/28/2027,1.3 --- WOMEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.948732146969,-122.331435113368,Contra Costa County
