Health Care Delivery System,Health Care Delivery System Id,Fiscal Year,Demographic Group,MH Service Description,Units,Amount MH Service Received,Amount MH Service Received Suppression Identifier,Medi-Cal Delivery System,Population Category,Demographic Category
Alameda,1,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,15891.96666,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,54,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,228057.27,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,4223.282778,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,428,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,214824.465,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,501.9263201,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,94,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,32402.76,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,344.7102128,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,58,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,1385.83,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,23.89362069,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FFS_INPATIENT,MEMBER_COUNT,34,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS,271,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ICC,MEMBER_COUNT,285,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ICC,TOTAL_MINUTES,395091.93,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,1386.287474,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,IHBS,MEMBER_COUNT,70,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,IHBS,TOTAL_MINUTES,129361.32,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,1848.018857,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,201,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,80926.935,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,402.6215672,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,1110,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,3661373.65,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,3298.53482,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,MEMBER_COUNT,28,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS,490,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_TOTAL,MEMBER_COUNT,1131,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,22321717.41,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,19736.2665,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,TFC,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,TFC,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,TFC,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,55,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,152096.46,,SMHS,Open Child Welfare,0 All
Alameda,1,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,2765.390182,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,401,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,138789.06,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,346.1073815,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,92,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,36466.335,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,396.3732065,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,38,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,1301,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,34.23684211,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FFS_INPATIENT,MEMBER_COUNT,33,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS,421,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,12.75757576,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FULL_DAY_TX_INTENSIVE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ICC,MEMBER_COUNT,249,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ICC,TOTAL_MINUTES,235652.01,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,946.3936145,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,IHBS,MEMBER_COUNT,62,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,IHBS,TOTAL_MINUTES,119078.58,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,1920.622258,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,202,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,71088.585,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,351.9236881,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,1027,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,3149319.855,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,3066.523715,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,MEMBER_COUNT,12,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS,105,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_TOTAL,MEMBER_COUNT,1056,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,19194824.97,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,18176.91759,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,TFC,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,TFC,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,TFC,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,43,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,121856.07,,SMHS,Open Child Welfare,0 All
Alameda,1,2021/22,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,2833.862093,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,371,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,148446.3,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,400.1247978,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,77,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,27647.025,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,359.0522727,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,38,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,1063,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,27.97368421,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,FFS_INPATIENT,MEMBER_COUNT,27,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,FFS_INPATIENT,TOTAL_DAYS,198,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ICC,MEMBER_COUNT,259,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ICC,TOTAL_MINUTES,281034.57,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,1085.07556,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,IHBS,MEMBER_COUNT,76,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,IHBS,TOTAL_MINUTES,170013.405,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,2237.018487,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,206,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,69056.46,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,335.225534,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,852,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,2817633.695,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,3307.081802,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_TOTAL,MEMBER_COUNT,877,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,19052115.36,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,21724.19083,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,30,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,76649.235,,SMHS,Open Child Welfare,0 All
Alameda,1,2022/23,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,2554.9745,,SMHS,Open Child Welfare,0 All
Alpine,2,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alpine,2,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Alpine,2,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alpine,2,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alpine,2,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,,2,SMHS,Open Child Welfare,0 All
